track_name,track_artist,track_album_name,track_album_release_date,playlist_genre
Signs - Eden Prince Remix,Starley,Signs (Eden Prince Remix),2018-11-30,pop
Ruin My Life - Steve James Remix,Zara Larsson,Ruin My Life (Remixes),2018-11-23,pop
Torn - KREAM Remix,Ava Max,Torn (KREAM Remix),2019-09-05,pop
Quite Miss Home - Steve Void Remix,James Arthur,Quite Miss Home (Steve Void Remix),2019-11-22,pop
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,Love Me Less (Remixes),2019-06-21,pop
Happier - Matt Medved Remix,Marshmello,Happier (Remixes Pt. 2),2018-11-30,pop
Side Effects - Fedde Le Grand Remix,The Chainsmokers,Side Effects - Remixes,2018-07-25,pop
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019-07-12,pop
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,Paradise (Bazzi vs. Black Caviar Remix),2019-06-27,pop
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,White Mercedes (EDX's Miami Sunset Remix),2019-10-25,pop
Higher Love,Kygo,Higher Love,2019-06-28,pop
Unlove You,Armin van Buuren,Unlove You,2019-10-18,pop
bad guy (with Justin Bieber),Billie Eilish,bad guy (with Justin Bieber),2019-07-11,pop
Freaking Me Out - Keanu Silva Remix,Ava Max,Freaking Me Out (Keanu Silva Remix),2019-11-01,pop
Heaven Can Wait - The Aston Shuffle Remix,Sia,Heaven Can Wait (The Aston Shuffle Remix),2019-05-24,pop
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,When It Comes To You (Remixes),2019-10-25,pop
Gone - The Wild Remix,Charli XCX,Gone (The Wild Remix),2019-08-09,pop
American Boy - Brooks Remix,Estelle,American Boy (Brooks Remix),2019-06-14,pop
Million Pieces - M-22 Remix,Bastille,Million Pieces (M-22 Remix),2019-09-27,pop
joy. (R3HAB Remix),for KING & COUNTRY,joy. (R3HAB Remix),2019-01-25,pop
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,Crash Into Me (Settle Down Steavis Aoki Remix),2019-11-12,pop
Old Town Road - Diplo Remix,Lil Nas X,Old Town Road (Diplo Remix),2019-04-29,pop
Lovers + Strangers - GATTÜSO Remix,Starley,Lovers + Strangers (GATTÜSO Remix),2019-11-15,pop
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,Promises (with Sam Smith) [Remixes],2018-10-19,pop
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),2019-12-12,pop
What Am I - SONDR Remix,Why Don't We,What Am I (SONDR Remix),2019-11-01,pop
Cool Kids,Olympis,Cool Kids,2019-11-01,pop
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019-08-09,pop
All Star - Breathe Carolina Remix,Smash Mouth,All Star (Breathe Carolina Remix),2019-08-23,pop
Trampoline - Dave Audé Remix,SHAED,Melt (Deluxe),2019-12-27,pop
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019-07-11,pop
With You - Dexter Remix,Kaskade,With You - The Remixes,2019-09-12,pop
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,Safety (The Dark Heart Remixes) (feat. DJ Snake),2019-11-15,pop
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018-09-28,pop
Talk - Disclosure VIP,Khalid,Talk (Disclosure VIP),2019-03-27,pop
Spicy - Majestic Remix,Herve Pagez,Spicy (with Diplo & Charli XCX) [Remixes],2019-10-11,pop
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019-10-04,pop
Treehouse - R3HAB Remix,James Arthur,Treehouse (R3HAB Remix),2019-09-13,pop
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",37i9dQZF1DXcZDD7cfEKhW
Call You Mine,The Chainsmokers,World War Joy,2019-05-31,pop
Post Malone (feat. RANI),Sam Feldt,Magnets EP,2019-05-24,pop
Here With Me,Marshmello,Here With Me,2019-03-08,pop
Easier - Seeb Remix,5 Seconds of Summer,Easier (Seeb Remix),2019-07-12,pop
Sixteen,Ellie Goulding,Sixteen,2019-04-12,pop
Never Really Over,Katy Perry,Never Really Over,2019-05-31,pop
All You Need To Know (feat. Calle Lehmann),Gryffin,All You Need To Know (feat. Calle Lehmann),2019-03-27,pop
I Miss Myself (with HRVY),NOTD,I Miss Myself (with HRVY),2019-05-03,pop
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019-10-04,pop
Takeaway (feat. Lennon Stella),The Chainsmokers,World War Joy...Takeaway,2019-07-24,pop
All the Time,Zara Larsson,All the Time,2019-06-21,pop
What I Like About You (feat. Theresa Rex),Jonas Blue,What I Like About You (feat. Theresa Rex),2019-03-22,pop
With You,Kaskade,With You,2019-06-14,pop
Body Back (feat. Maia Wright),Gryffin,Body Back (feat. Maia Wright),2019-10-18,pop
Not Ok,Kygo,Not Ok,2019-05-23,pop
Ruin My Life,Zara Larsson,Ruin My Life,2018-10-18,pop
I Wanna Know (feat. Bea Miller),NOTD,I Wanna Know (feat. Bea Miller),2018-03-16,pop
Better With You,3LAU,Better With You,2019-03-01,pop
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,pop
Polaroid,Jonas Blue,Blue,2018-11-09,pop
Lost In Japan - Remix,Shawn Mendes,Lost In Japan (Remix),2018-09-27,pop
In Your Arms (with X Ambassadors),ILLENIUM,ASCEND,2019-08-16,pop
I'm Not Alright,Loud Luxury,I'm Not Alright,2019-07-12,pop
SOS,Avicii,SOS,2019-04-10,pop
Harder,Jax Jones,Snacks,2019-07-12,pop
The Middle,Zedd,The Middle,2018-01-23,pop
Wanted,NOTD,Wanted,2019-09-27,pop
Crash Into Me,Steve Aoki,Crash Into Me,2019-07-12,pop
Need Your Love (with Noah Kahan),Gryffin,Gravity,2019-10-24,pop
Good Things Fall Apart (with Jon Bellion),ILLENIUM,Good Things Fall Apart (with Jon Bellion),2019-05-13,pop
Don't Call Me Up,Mabel,Ivy To Roses (Mixtape),2019-01-18,pop
Nostalgic,A R I Z O N A,Nostalgic,2019-06-18,pop
Let It Be Me,Steve Aoki,Let It Be Me,2019-09-06,pop
Lovers + Strangers,Starley,Lovers + Strangers,2019-10-11,pop
Sad Song (feat. TINI),Alesso,Sad Song (feat. TINI),2019-06-14,pop
Sleepless Nights,ayokay,In the Shape of a Dream,2018-08-31,pop
Save Me Tonight,ARTY,Save Me Tonight,2019-01-25,pop
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Pretty Girl (Cheat Codes X CADE Remix),2017-03-02,pop
No Sleep (feat. Bonn),Martin Garrix,No Sleep (feat. Bonn),2019-02-21,pop
Feel Good (feat. Daya),Gryffin,Feel Good (feat. Daya),2017-03-03,pop
Endless Summer,Cashae,Endless Summer,2019-07-12,pop
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],2019-10-25,pop
Think About You,Kygo,Think About You,2019-02-14,pop
Party For One,Carly Rae Jepsen,Dedicated,2019-05-17,pop
Ritual,Tiësto,Ritual,2019-05-31,pop
Electricity (with Dua Lipa),Silk City,Electricity (with Dua Lipa),2018-09-06,pop
Lie,Shallou,Lie,2018-01-25,pop
I Found You (with Calvin Harris),benny blanco,FRIENDS KEEP SECRETS,2018-12-07,pop
Now That I Found You,Carly Rae Jepsen,Now That I Found You / No Drug Like Me,2019-02-27,pop
All Comes Back To You,R3HAB,All Comes Back To You,2019-10-25,pop
Need U,DVBBS,Need U,2019-08-16,pop
First Love,Lost Kings,First Love,2017-10-13,pop
Something Real,Armin van Buuren,Something Real,2019-07-12,pop
TIME,Alesso,ALESSO MIXTAPE - PROGRESSO VOLUME 1,2019-03-08,pop
Something About You (with Rudimental),Elderbrook,Distinction EP,2019-08-09,pop
Home (feat. Bonn),Martin Garrix,Home (feat. Bonn),2019-08-16,pop
Simple (STVW Remix),FANNYPACK,Simple (STVW Remix),2019-04-12,pop
Sorry,Joel Corry,Sorry,2019-04-05,pop
Spicy (with Diplo & Charli XCX),Herve Pagez,Spicy (with Diplo & Charli XCX),2019-05-30,pop
The Upside (feat. Elle King),Lindsey Stirling,The Upside (feat. Elle King) / The Upside / Underground,2019-08-02,pop
Stay,Zedd,Stay,2017-02-23,pop
Million Voices,Armin van Buuren,Balance,2019-10-25,pop
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0ZHyvPke0EcVt6rYA8Ins3,"Taki Taki (with Selena Gomez,Dance Pop
Closer (feat. Halsey),The Chainsmokers,Closer (feat. Halsey),2016-07-29,pop
Say My Name (feat. Zyra) - RAC Mix,ODESZA,Say My Name Remixes,2014-10-13,pop
Clarity,Zedd,Clarity,2012-01-01,pop
Solo (feat. Demi Lovato),Clean Bandit,Solo (feat. Demi Lovato),2018-05-17,pop
Scared to Be Lonely,Martin Garrix,Scared to Be Lonely,2017-01-27,pop
Friends (with BloodPop®),Justin Bieber,Friends (with BloodPop®),2017-08-17,pop
RITMO (Bad Boys For Life),The Black Eyed Peas,RITMO (Bad Boys For Life),2019-10-12,pop
Promises (with Sam Smith),Calvin Harris,Promises (with Sam Smith),2018-08-17,pop
Turn Me On (feat. Vula),Riton,Turn Me On (feat. Vula),2019-09-13,pop
Light,San Holo,Light,2017-02-10,pop
2U,David Guetta,2U,2017-06-09,pop
Something Just Like This,The Chainsmokers,Memories...Do Not Open,2017-04-07,pop
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),2018-04-06,pop
Heroes (we could be),Alesso,Forever,2015-05-26,pop
It Ain’t Me (with Selena Gomez),Kygo,It Ain't Me,2017-02-17,pop
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,R.E.D. (Deluxe Edition),2012-01-01,pop
Let Me Love You,DJ Snake,Encore,2016-08-05,pop
Roses,The Chainsmokers,Roses,2015-06-16,pop
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,Clarity (Deluxe),2012,pop
Latch,Disclosure,Settle,2013-01-01,pop
Flames,David Guetta,7,2018-09-14,pop
Sorry,Justin Bieber,Purpose (Deluxe),2015-11-13,pop
This Is What You Came For,Calvin Harris,This Is What You Came For,2016-04-29,pop
Wake Me Up,Avicii,True,2013-01-01,pop
In My Mind,Dynoro,In My Mind,2018-06-08,pop
Titanium (feat. Sia),David Guetta,Nothing but the Beat 2.0,2011-08-26,pop
Where Are Ü Now,Skrillex,Purpose (Deluxe),2015-11-13,pop
Firework,Katy Perry,Teenage Dream,2010-01-01,pop
Mi Gente (feat. Beyoncé),J Balvin,Mi Gente (feat. Beyoncé),2017-09-28,pop
Don't You Worry Child - Radio Edit,Swedish House Mafia,Until Now,2012-01-01,pop
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,TROLLS (Original Motion Picture Soundtrack),2016-09-23,pop
Anything Could Happen,Ellie Goulding,Halcyon,2012-01-01,pop
Poker Face,Lady Gaga,The Fame,2008-01-01,pop
How Deep Is Your Love,Calvin Harris,How Deep Is Your Love,2015-07-17,pop
In Your Eyes (feat. Alida),Robin Schulz,In Your Eyes (feat. Alida),2020-01-10,pop
Wish You Well (with Sigala),Sigala,Get To Know,2019-09-27,pop
With You - LöKii Remix,Kaskade,With You - The Remixes,2019-09-12,pop
Dive,Hot Shade,Dive,2019-12-20,pop
No Goodbye,Paul Kalkbrenner,No Goodbye,2019-07-26,pop
Work,MOTi,Work,2019-01-25,pop
Instagram,Dimitri Vegas & Like Mike,Instagram,2019-07-05,pop
Better Off Without You (feat. Shift K3Y),Becky Hill,Better Off Without You (feat. Shift K3Y),2020-01-10,pop
Butterfly,Molella,Butterfly,2019-06-21,pop
All The Love You Got,MOTi,All The Love You Got,2019-12-20,pop
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,Call You Mine - The Remixes,2019-07-19,pop
Love Is Not Enough,GATTÜSO,Love Is Not Enough,2019-12-19,pop
Lose Control,MEDUZA,Lose Control,2019-10-11,pop
I Wanna Dance,Jonas Blue,I Wanna Dance,2019-07-19,pop
After The Landslide - Club Remix,Matt Simons,After The Landslide (Remix),2019-09-19,pop
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,Midnight Hour with Boys Noize & Ty Dolla $ign,2019-08-29,pop
Pon de Replay,Ed Marquis,Pon de Replay,2017-04-28,pop
So Close,NOTD,So Close (feat. Georgia Ku),2018-11-02,pop
Look Into My Eyes,Brando,Look Into My Eyes,2020-01-10,pop
Not in Control,Glaceo,Not in Control,2019-12-20,pop
BLUE,Tiësto,BLUE,2019-12-13,pop
Don't Waste My Time,Kharfi,Don't Waste My Time,2019-11-08,pop
Beat Of My Heart,Lost Frequencies,Alive And Feeling Fine,2019-10-04,pop
Don't Start Now - Kungs Remix,Dua Lipa,Don't Start Now (Kungs Remix),2019-12-18,pop
Drunken Truth,Steve Void,The Seed EP,2019-12-20,pop
Jacques,Jax Jones,Jacques,2019-08-28,pop
Something Real,Armin van Buuren,Balance,2019-10-25,pop
Stay (Don't Go Away) [feat. Raye],David Guetta,Stay (Don't Go Away) [feat. Raye],2019-05-09,pop
Solid Gold,PNAU,Solid Gold,2019-05-02,pop
One Life,Mike Perry,One Life,2019-09-27,pop
All ‘Bout The Money,FAULHABER,All ‘Bout The Money,2019-10-18,pop
Never Letting Go,Audien,Never Letting Go,2018-11-09,pop
Used To Love (with Dean Lewis),Martin Garrix,Used To Love (with Dean Lewis),2019-10-31,pop
Giulia,Prince Paris,Giulia,2019-11-29,pop
What Do I Do? - Benny Benassi Remix,Georgia Ku,What Do I Do? (Benny Benassi Remix),2019-10-18,pop
Dreams Of You (feat. Rae Morris),Icarus,Dreams Of You (feat. Rae Morris),2019-10-04,pop
I Will Let You Down (feat. KLARA),Madison Mars,I Will Let You Down (feat. KLARA),2019-12-06,pop
Carillon (with Achille Lauro),Nahaze,Carillon (with Achille Lauro),2019-12-11,pop
La Vie - Gabry Ponte Mix,DJ Ross,La Vie (Gabry Ponte Mix),2019-11-15,pop
Lullaby,R3HAB,Lullaby,2018-01-26,pop
Say It,Phantoms,Disconnect,2019-07-19,pop
All This Time,Deorro,All This Time,2019-07-12,pop
All You Need To Know (feat. Calle Lehmann),Gryffin,Gravity,2019-10-24,pop
Acordeão,Tiësto,Acordeão,2019-08-08,pop
My Friend,Yves V,My Friend,2019-05-31,pop
On & On,Alok,On & On,2019-11-22,pop
Juliet & Romeo,Martin Solveig,Juliet & Romeo,2019-12-06,pop
All Around The World (La La La),R3HAB,All Around The World (La La La),2019-04-05,pop
Are You Lonely (feat. ISÁK),Steve Aoki,Are You Lonely (feat. ISÁK),2019-02-22,pop
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,No More (feat. Brenda Mullen) [Bottai Edit],2019-03-01,pop
Close Your Eyes,Felix Jaehn,Close Your Eyes,2019-11-22,pop
Buzzing (with Nevve),Audien,Escapism,2019-11-08,pop
Never Be Alone (feat. Aloe Blacc),David Guetta,Never Be Alone (feat. Aloe Blacc),2019-07-26,pop
Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),2019-09-13,pop
Insane,Ofenbach,Insane,2019-11-15,pop
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,Daydreams (Sultan + Shepard Echoes Of Life Remix),2020-01-03,pop
Only Want You - Sam Feldt Remix,Rita Ora,Only Want You (Sam Feldt Remix),2019-04-05,pop
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,Close To Me (Remixes),2019-02-01,pop
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,Woke Up Late (Sam Feldt Remix),2019-05-02,pop
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],2019-09-27,pop
Not Ok - Frank Walker Remix,Kygo,Not Ok (Frank Walker Remix),2019-07-05,pop
Heaven (feat. Veronica),Dzeko,Heaven (feat. Veronica),2019-01-04,pop
Sixteen - Don Diablo Remix,Ellie Goulding,Sixteen (Don Diablo Remix),2019-05-10,pop
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,Don’t Give Up On Me Now (with Julie Bergan),2019-05-10,pop
Brave,Don Diablo,Brave,2019-04-26,pop
Let It Be Me,Steve Aoki,Let It Be Me,2019-09-06,pop
Carry On - Nicky Romero Remix,Kygo,Carry On (Nicky Romero Remix),2019-05-30,pop
Magnets (feat. Sophie Simmons),Sam Feldt,Magnets (feat. Sophie Simmons),2019-05-10,pop
Don't Give Up On Me,Andy Grammer,Don't Give Up On Me (with R3HAB),2019-04-12,pop
Found Love (feat. Lovespeake),MOTi,Found Love (feat. Lovespeake),2019-02-15,pop
These Are The Times (feat. JRM),Martin Garrix,These Are The Times (feat. JRM),2019-07-18,pop
Wherever You Go,Jonas Blue,Blue,2018-11-09,pop
Happy Now,Kygo,Happy Now,2018-10-26,pop
Roots,Valerie Broussard,Roots,2019-08-16,pop
Talk - Alle Farben Remix,Khalid,Talk (Alle Farben Remix),2019-04-04,pop
All The Lies - Toby Romeo Remix / Radio Edit,Alok,All The Lies (Remixes),2019-07-19,pop
High Hopes - Don Diablo Remix,Panic! At The Disco,High Hopes (Don Diablo Remix),2019-01-11,pop
Summer Air (feat. Trevor Guthrie),Hardwell,Summer Air (feat. Trevor Guthrie),2019-05-31,pop
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,Can We Pretend (feat. Cash Cash) [Sigala Remix],2019-06-28,pop
Bruises - Steve Void Remix,Lewis Capaldi,Bruises EP,2019-09-27,pop
Insomnia - King Arthur Remix,Daya,Insomnia (King Arthur Remix),2019-05-17,pop
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,Don't Worry Bout Me (Rudimental Remix),2019-04-24,pop
I Miss Myself - R3HAB Remix,NOTD,I Miss Myself (R3HAB Remix),2019-06-07,pop
8 Letters - R3HAB Remix,Why Don't We,8 Letters (R3HAB Remix),2018-09-28,pop
You Deserve Better - Andrelli Remix,James Arthur,You Deserve Better (Andrelli Remix),2018-06-29,pop
Remember (with ZOHARA),Gryffin,Remember (with ZOHARA),2018-10-26,pop
REMEDY,Alesso,REMEDY,2018-08-31,pop
Leave,Borgeous,Leave,2019-01-25,pop
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,Mama (feat. Ellie Goulding) [Tiësto’s Big Room Remix],2019-03-08,pop
I'm Not Sorry,Hardwell,I'm Not Sorry,2019-03-08,pop
Tequila - Robin Schulz Remix,Dan + Shay,Tequila (Robin Schulz Remix),2019-03-21,pop
Happier - Frank Walker Remix,Marshmello,Happier (Remixes),2018-10-19,pop
Sing It With Me - Embody Remix,JP Cooper,Sing It With Me (Embody Remix),2019-06-21,pop
Thursday - Nicky Romero Remix,Jess Glynne,Thursday (Nicky Romero Remix),2018-12-07,pop
Better When You're Gone,David Guetta,Better When You're Gone,2019-02-08,pop
Wish You Well,Sigala,Wish You Well,2019-05-24,pop
Only When It Rains,Frank Walker,Only When It Rains,2019-03-29,pop
Mad Love - Blinkie Remix,Mabel,Mad Love (Remixes),2019-07-05,pop
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,Sweet but Psycho (Remixes),2018-08-16,pop
Better Day (feat. Aloe Blacc),Young Bombs,Better Day (feat. Aloe Blacc),2019-11-01,pop
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,Rescue Me (with BUNT.) [BUNT. Remix],2019-08-02,pop
Discovery,Syn Cole,Discovery,2019-05-31,pop
With You - Frank Walker Remix,Tyler Shaw,With You (Frank Walker Remix),2019-02-01,pop
2 Hearts (feat. Gia Koka),Sam Feldt,2 Hearts (feat. Gia Koka),2020-01-10,pop
Love You Forever,Nicky Romero,Love You Forever,2019-06-21,pop
Post Malone (feat. RANI),Sam Feldt,Post Malone (feat. RANI) [Joe Stone Remix],2019-08-16,pop
Thorns,Faustix,Thorns,2019-03-29,pop
Shotgun (The Wild Remix),George Ezra,Shotgun (The Wild Remix),2018-06-15,pop
True Colors (feat. Maya Avedis),XO Cupid,True Colors (feat. Maya Avedis),2018-09-21,pop
Crying In The Sun,Faustix,Crying In The Sun (Remixes),2018-11-23,pop
Need You,Faustix,Need You,2019-07-26,pop
Sweet Dreams (Are Made of This),Winati,Sweet Dreams (are Made of This),2019-06-21,pop
Million Lights,Tungevaag & Raaban,Million Lights,2019-03-22,pop
Dancing in the Moonlight,Jubël,Dancing in the Moonlight,2018-06-22,pop
Heaven,Avicii,TIM,2019-06-06,pop
Forever Young,John De Sohn,Forever Young,2018-07-27,pop
eoh,Olympis,eoh,2019-08-16,pop
Nobody,Martin Jensen,Nobody,2019-03-01,pop
All Day And Night,Jax Jones,Snacks,2019-07-12,pop
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,There's No Way (remixes),2018-11-01,pop
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,Whenever (feat. Conor Maynard),2018-06-22,pop
All For Love,Tungevaag & Raaban,All For Love,2018-03-23,pop
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,Bittersweet Symphony (feat. Emily Roberts),2019-03-29,pop
One Touch,Jess Glynne,Always in Between (Deluxe),2018-10-12,pop
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",1vtHFX1NTE4awfd2sR1VGP,"fuck,Dance Pop Hits
Be Your Friend‬‬,Vigiland,Be Your Friend,2018-03-02,pop
Happier - Breathe Carolina Remix,Marshmello,Happier (Remixes),2018-10-19,pop
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,Woke Up Late (feat. Hailee Steinfeld) [Sam Feldt Remix],2019-05-02,pop
Just Got Paid,Sigala,Brighter Days,2018-09-28,pop
No One - Jonas Blue Remix,Jess Glynne,No One (Jonas Blue Remix),2019-03-15,pop
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,Speechless (feat. Erika Sirola) [MOTi Remix],2019-03-22,pop
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,Close To Me (Remixes),2019-02-01,pop
Darkside,Alan Walker,Different World,2018-12-14,pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,pop
Body (feat. brando),Loud Luxury,Body (feat. brando),2017-10-27,pop
Who's Got Your Love,Cheat Codes,Who's Got Your Love,2019-03-15,pop
Never Go Back - Robin Schulz Remix,Dennis Lloyd,Never Go Back (Remixes),2019-06-07,pop
Pumped Up,Klingande,Pumped Up,2017-09-08,pop
California,Hot Shade,California,2018-05-04,pop
Solo Dance,Martin Jensen,Solo Dance,2016-11-04,pop
Replay,Davai,Replay,2017-08-25,pop
Think About You - Galantis Remix,Kygo,Think About You (Galantis Remix),2019-04-12,pop
Love No More,Loud Luxury,Love No More,2018-08-31,pop
All Falls Down (feat. Juliander),Alan Walker,Different World,2018-12-14,pop
Lonely Together (feat. Rita Ora),Avicii,Phoenix (Deluxe Edition),2018-11-23,pop
Remind Me to Forget,Kygo,Kids in Love,2017-11-03,pop
